"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/28/2012","Pre Authorized Entries","Pre-Authorized Entries","25.72","credit","Income","ECHECKING 7688","",""
"12/28/2012","Pre Authorized Entries","Pre-Authorized Entries","7.87","credit","Income","ECHECKING 7688","",""
"12/28/2012","Pre Authorized Entries","Pre-Authorized Entries","6.00","credit","Income","ECHECKING 7688","",""
"12/28/2012","Pre Authorized Entries","Pre-Authorized Entries","38.00","credit","Income","ECHECKING 7688","",""
"12/28/2012","Pre Authorized Entries","Pre-Authorized Entries","3.54","credit","Income","ECHECKING 7688","",""
"12/08/2012","Pre Authorized Entries","Pre-Authorized Entries","209.27","credit","Business Internet","ECHECKING 7688","",""
"12/27/2012","Withdrawal Palomar Hewithdrawal","Withdrawal Debit Card PALOMAR HEWithdrawal Debit Card PALOMAR HEALTH CAFETER ESCONDIDO CA Date 12/25/12 0      2360469557     0 5812","9.22","debit","Food & Dining","ECHECKING 7688","",""
"12/27/2012","Withdrawal Palomar Hewithdrawal","Withdrawal Debit Card PALOMAR HEWithdrawal Debit Card PALOMAR HEALTH CAFETER ESCONDIDO CA Date 12/25/12 0      2360469558     0 5812","1.50","debit","Food & Dining","ECHECKING 7688","",""
"12/27/2012","Withdrawal Debit Card APL*APPLEWithdrawal Debit Card APL*APPLE ITUNES STORE 866-712-7753 CA Date 04/24/12 0      2115046240     1 5735","Withdrawal Debit Card APL*APPLEWithdrawal Debit Card APL*APPLE ITUNES STORE 866-712-7753 CA Date 12/26/12 0      2361589996     0 5735","8.98","debit","Entertainment","ECHECKING 7688","",""
"12/27/2012","Ralphs","Withdrawal Debit Card RALPHS #00Withdrawal Debit Card RALPHS #0054 OCEANSIDE CA Date 12/26/12 0      2361036517     1 5411","69.30","debit","Groceries","ECHECKING 7688","",""
"12/27/2012","Mercury","Withdrawal MERCURY CASUALTY TYPEWithdrawal MERCURY CASUALTY TYPE: PAYMENT  ID: 1952577343 CO: MERCURY CASUALTY","133.40","debit","Auto Insurance","ECHECKING 7688","",""
"12/24/2012","Panera Bread","Withdrawal Debit Card PANERA BREWithdrawal Debit Card PANERA BREAD #4278 VISTA CA Date 12/21/12 0      2356253041     5 5814","6.48","debit","Fast Food","ECHECKING 7688","",""
"12/24/2012","Burger King","Withdrawal Debit Card BURGER KINWithdrawal Debit Card BURGER KING #15006 Q07 SAN MARCOS CA Date 12/22/12 0      2357554524     1 5814","19.47","debit","Fast Food","ECHECKING 7688","",""
"12/24/2012","CVS","Withdrawal Debit Card CVSPHARMACWithdrawal Debit Card CVSPHARMACY #9549 Q03 OCEANSIDE CA Date 12/22/12 0      2357245729     5 5912","5.85","debit","Pharmacy","ECHECKING 7688","",""
"12/24/2012","Wal-Mart","Withdrawal POS #000082492977 STRWithdrawal POS #000082492977 STR Wal-Mart Store 2245 WAL-SAMS OCEANSIDE CA","34.95","debit","Home Supplies","ECHECKING 7688","",""
"12/24/2012","Consumer Reports","Withdrawal Debit Card CR *CONSUMWithdrawal Debit Card CR *CONSUMERREPORTS.OR 800-333-0663 NY Date 12/22/12 0      2357237516     5 5968","6.95","debit","Home Supplies","ECHECKING 7688","",""
"12/24/2012","Withdrawal I Love","Withdrawal Debit Card I LOVE BAGWithdrawal Debit Card I LOVE BAGELS OCEANSIDE CA Date 12/23/12 0      2358098067     1 5814","15.91","debit","Fast Food","ECHECKING 7688","",""
"12/23/2012","Withdrawal Squarespacwithdrawal Squarespace","Withdrawal Debit Card SQUARESPACWithdrawal Debit Card SQUARESPACE INC NEW YORK NY Date 12/21/12 0      2356597175     1 7372","13.33","debit","Web Hosting","ECHECKING 7688","",""
"12/23/2012","Chipotle","Withdrawal Debit Card CHIPOTLE 1Withdrawal Debit Card CHIPOTLE 1692 SAN DIEGO CA Date 12/21/12 0      2356302647     1 5814","8.94","debit","Fast Food","ECHECKING 7688","",""
"12/23/2012","Withdrawal Withdrawal Date","Withdrawal Debit Card 76 1010411Withdrawal Debit Card 76 10104115 VISTA CA Date 12/21/12 0      2356371032     1 5542","58.70","debit","Gas & Fuel","ECHECKING 7688","",""
"12/22/2012","Costco","Withdrawal POS #000000198467 STRWithdrawal POS #000000198467 STR COSTCO WHSE #0124 1755 HACIENDA DRIV VISTA CA","66.90","debit","Groceries","ECHECKING 7688","",""
"12/21/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/19/12 0      2354448259     1 5814","1.67","debit","Business Meals","ECHECKING 7688","",""
"12/21/2012","Albertsons","Withdrawal POS #000000711000 STRWithdrawal POS #000000711000 STR #06740 ALBERTSONS 4150 OCEANSIDE BLV OCEANSIDE CA","34.22","debit","Groceries","ECHECKING 7688","",""
"12/21/2012","Pho Ca Dao Restaurant","Withdrawal Debit Card PHO CA DAOWithdrawal Debit Card PHO CA DAO RESTAURANT SAN DIEGO CA Date 12/19/12 0      2354450294     1 5812","8.15","debit","Food & Dining","ECHECKING 7688","",""
"12/21/2012","Jimbo's Naturally","Withdrawal Debit Card JIMBO'S NAWithdrawal Debit Card JIMBO'S NATURALLY CARLSBAD CA Date 12/19/12 0      2354473978     1 5411","16.19","debit","Food & Dining","ECHECKING 7688","",""
